,Test,BTC_MAE,BTC_MSE,BTC_RMSE,BTC_Score
0,Linear regression,8.660286274967579,142.94292336383384,11.955874010871554,0.9643860061427252
1,Bayesian Ridge,8.322929162595925,134.95436719115958,11.61698614921958,0.9663763417519807
2,Elastic Net CV,9.403915836523097,166.8462356553718,12.91689729212754,0.9584305352660554
3,Random Forest,10.182512171158704,185.57885077014842,13.6227328671654,0.9537633350722392
4,Xgboost regression,8.45081407079157,141.49437000611496,11.895140604722373,0.9647469108253056
5,NN regression,21.92989781707952,736.4477736096966,27.137571254806435,0.8165152505046964
