,Test,BTC_MAE,BTC_MSE,BTC_RMSE,BTC_Score
0,Linear regression,24.869828723214475,1014.3981299108815,31.849617421734933,0.7471015195249129
1,Bayesian Ridge,24.17528119071228,947.92776408943,30.788435557680256,0.7636731732151115
2,Elastic Net CV,17.952430104978557,625.4273895150651,25.00854632950634,0.8440753863872401
3,Random Forest,35.54386414923813,1878.6705440862872,43.3436332589492,0.5316307158862097
4,Xgboost regression,20.287459070032295,709.2588981894522,26.63191503045645,0.8231754452945361
5,NN regression,43.59625008699556,2914.100983272876,53.98241364808428,0.273488693551305
