,Test,BTC_MAE,BTC_MSE,BTC_RMSE,BTC_Score
0,Linear regression,707.0274997647992,880569.8876334431,938.3868539325575,0.6368271933712721
1,Bayesian Ridge,699.328324838043,884022.4889159354,940.2247012900349,0.6354032395028262
2,Elastic Net CV,693.4683954343689,792622.6897915964,890.2935975236463,0.6730991930432064
3,Random Forest,719.9629803423201,870510.7197204772,933.0116396489796,0.6409758887725192
4,Xgboost regression,686.2511313302176,863182.217924481,929.0760022325843,0.6439983775073868
5,NN regression,1777.814791621314,4719417.229633613,2172.421973198028,-0.9464258601260391
