,Test,BTC_MAE,BTC_MSE,BTC_RMSE,BTC_Score
0,Linear regression,224.44522537183326,130703.37211916658,361.5292133689428,0.9458571825814175
1,Bayesian Ridge,235.62655209825715,131372.13044734154,362.4529354927913,0.9455801548393442
2,Elastic Net CV,533.2151577466454,419161.7839003509,647.4270490953795,0.8263656127106451
3,Random Forest,263.32355235243057,156112.453423049,395.1106850276882,0.9353316756453323
4,Xgboost regression,309.8348914930556,212341.5940634452,460.8053754715164,0.9120392077775477
5,NN regression,1821.7786376955924,5683007.048191171,2383.9058387845716,-1.3541398206482178
