,Test,BTC_MAE,BTC_MSE,BTC_RMSE,BTC_Score
0,Linear regression,74.86714866318643,9596.051383780672,97.95943744111985,-1.3997474212597556
1,Bayesian Ridge,63.46747585450195,7611.213584221766,87.24226948115097,-0.9033860325367835
2,Elastic Net CV,47.3348164427792,4621.682947729183,67.98296071611756,-0.15577452559697424
3,Random Forest,61.55726585663486,6260.329777465667,79.12224578123188,-0.5655616710328639
4,Xgboost regression,61.648696401526514,6234.015107665742,78.9557794443557,-0.5589809892015425
5,NN regression,60.532449911948156,5869.790157322246,76.61455577970968,-0.4678968702875288
