,Test,BTC_MAE,BTC_MSE,BTC_RMSE,BTC_Score
0,Linear regression,2023.0100427087132,5773491.374020394,2402.80905900165,-1.3087440173541416
1,Bayesian Ridge,1888.1407186121914,5256411.6873695,2292.686565444457,-1.101970584137891
2,Elastic Net CV,1743.1434924246755,4577157.46799472,2139.4292388379477,-0.8303456671421212
3,Random Forest,1841.4409547743555,4563210.4598468505,2136.167235926731,-0.8247684402034483
4,Xgboost regression,1884.9444619455646,5512659.514841801,2347.9053462271004,-1.2044407534532562
5,NN regression,3531.8471578879503,17536760.180660732,4187.691509729523,-6.012722030392659
