date,high,low,open,close,volume,adj close,lag_1,lag_2,lag_3,lag_4,lag_5,upper_band,middle_band,lower_band,ewm_30,ewm_15,dema_15,dema_30,kama_15,kama_30,MIDPOINT_15,MIDPOINT_30,SAR,SMA_5,NEW_SMA_5,SMA_7,SMA_14,SMA_30,trima_15,trima_30,WMA_5,WMA_7,WMA_14,WMA_30,roll_var_5,roll_var_7,roll_var_14,roll_var_30,5 Day STD,7 Day STD,14 Day STD,30 Day STD,ADX_5,ADX_10,ADX_30,ADXR_10,APO,aroondown,aroonup,aroon_osc,BOP,CCI_30,CMO_10,DX_10,macd,macdsignal,macdhist,MINUS_DI_10,MINUS_DM_10,MOM_10,PLUS_DI_10,PLUS_DM_10,PPO,roc_5,roc_10,roc_30,rsi_5,rsi_10,rsi_30,slowk,slowd,fastk,fastd,fastk_rsi,fastd_rsi,TRIX_10,ULTOSC,WILLR,HT_DCPERIOD,HT_DCTREND,percent_change,short_result,future,Next_day,Next_30,Next_5
2015-08-27,1.2077900171279907,1.1204999685287476,1.1476600170135498,1.1913800239562988,721872.0,1.1913800239562988,,,,,,,,,1.1913800239562988,1.1913800239562988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5008590056292865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-7.986623561453743,sell,1.2947900295257568,1.1825499534606934,0.7208390235900879,1.2947900295257568
2015-08-28,1.2072099447250366,1.1494899988174438,1.1935299634933472,1.1825499534606934,375377.0,1.1825499534606934,1.1913800239562988,,,,,,,,1.1868178208669027,1.1866706530253093,,,,,,,1.1204999685287476,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.19022904231809826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-6.512617752781502,sell,1.264930009841919,1.3192700147628784,0.5828859806060791,1.264930009841919
2015-08-29,1.3679900169372559,1.170609951019287,1.1829899549484253,1.3192700147628784,1337650.0,1.3192700147628784,1.1825499534606934,1.1913800239562988,,,,,,,1.2339435366514393,1.2368857959318442,,,,,,,1.1204999685287476,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6904448996946387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3.520060659316493,hold,1.2744100093841553,1.358240008354187,0.6611459851264954,1.2744100093841553
2015-08-30,1.39614999294281,1.20100998878479,1.3213800191879272,1.358240008354187,1447180.0,1.358240008354187,1.3192700147628784,1.1825499534606934,1.1913800239562988,,,,,,1.2681917440922141,1.2735426435780033,,,,,,,1.1204999685287476,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1888899681298119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.4512919526671109,hold,1.3388099670410156,1.3516099452972412,0.738644003868103,1.3388099670410156
2015-08-31,1.39274001121521,1.3366299867630005,1.3534799814224243,1.3516099452972412,778862.0,1.3516099452972412,1.358240008354187,1.3192700147628784,1.1825499534606934,1.1913800239562988,,,,,1.2871714045049778,1.2935767058449037,,,,,,,1.1204999685287476,1.2806099891662597,1.2806099891662597,,,,,,1.3136866490046184,,,,0.007534942130699566,,,,0.08680404443745444,,,,,,,,,,,,-0.03332802192549157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4.3045718527976895,hold,1.2958300113677979,1.2947900295257568,0.690214991569519,1.2958300113677979
2015-09-01,1.3549100160598755,1.2646199464797974,1.3515700101852417,1.2947900295257568,883769.0,1.2947900295257568,1.3516099452972412,1.358240008354187,1.3192700147628784,1.1825499534606934,1.1913800239562988,,,,1.2886618684782507,1.2938518585517393,,,,,,,1.1204999685287476,1.3012919902801514,1.3012919902801514,,,,,,1.3184133291244506,,,,0.005060032381412331,,,,0.07113390458432836,,,,,,,,,,,,-0.6288618551692087,,,,,,,,,,,,,8.679850550629276,,,70.85130501835468,,,,,,,,,,,,,0,3.861552940438484,hold,1.246649980545044,1.264930009841919,0.6785740256309509,1.246649980545044
2015-09-02,1.3099900484085083,1.2110300064086914,1.2951899766921997,1.264930009841919,702991.0,1.264930009841919,1.2947900295257568,1.3516099452972412,1.358240008354187,1.3192700147628784,1.1825499534606934,,,,1.2845572889200334,1.2878989412056878,,,,,,,1.1204999685287476,1.3177680015563964,1.3177680015563964,1.2803957121712821,,,,,1.3062926689783732,1.2974482136113303,,,0.0015263392752828627,0.005097730402765491,,,0.039068392279218024,0.0713983921581256,,,,,,,,,,,-0.30577964841947775,,,,,,,,,,,,,6.966306678220491,,,61.58186283051058,,,,,,,,,,,,,0,1.8109703290783985,hold,1.2424299716949463,1.2744100093841553,0.6871709823608398,1.2424299716949463
2015-09-03,1.3025200366973877,1.2368099689483643,1.264930009841919,1.2744100093841553,474391.0,1.2744100093841553,1.264930009841919,1.2947900295257568,1.3516099452972412,1.358240008354187,1.3192700147628784,,,,1.2829739488276741,1.2853301731064661,,,,,,,1.1204999685287476,1.3087960004806518,1.3087960004806518,1.2922571386609758,,,,,1.2918400049209595,1.2959517879145486,,,0.0018951331315378303,0.003618927372911472,,,0.04353312682932195,0.0601575213328431,,,,,,,,,,,0.1442701227830832,,,,,,,,,,,,,-3.400365723220511,,,63.4780779748362,,,,,,,,,,,,,0,5.627807854587408,buy,1.2065099477767944,1.3388099670410156,0.668379008769989,1.2065099477767944
2015-09-04,1.3423000574111938,1.2711900472640991,1.28056001663208,1.3388099670410156,448453.0,1.3388099670410156,1.2744100093841553,1.264930009841919,1.2947900295257568,1.3516099452972412,1.358240008354187,,,,1.2909558695561154,1.294889119005245,,,,,,,1.1204999685287476,1.3049099922180176,1.3049099922180176,1.314579997743879,,,,,1.3018446604410807,1.3075899950095586,,,0.00149028887478836,0.0013928155532725321,,,0.03860425980106807,0.0373204441730338,,,,,,,,,,,0.8191526099974183,,,,,,,,,,,,,-1.4305307746541263,,,74.26439128917617,,,,,,,,,,,,,0,14.843400085978509,strong buy,1.1657700538635254,1.2958300113677979,0.6286429762840271,1.1657700538635254
2015-09-05,1.3736399412155151,1.2942500114440918,1.3380099534988403,1.2958300113677979,491968.0,1.2958300113677979,1.3388099670410156,1.2744100093841553,1.264930009841919,1.2947900295257568,1.3516099452972412,,,,1.291601964650217,1.2950487168439309,,,,,,,1.1204999685287476,1.2937540054321288,1.2937540054321288,1.3112314258302962,,,,,1.2988180001576741,1.3029024984155382,,,0.0008101089319893737,0.0014346614186794753,,,0.02846241261715833,0.03787692462013614,,,21.14142005401424,,,,,,,,-0.531300912502196,,,,,,,,0.12559998035430908,,,0.2600599527359009,,-4.126925384318358,,,59.583950520719476,,,,,,,,,,,-36.39396796291171,,0,31.82696147634614,strong buy,0.9829779863357544,1.246649980545044,0.6506450176239014,0.9829779863357544
