,0
0,8329.432790667328
1,8681.813256125188
2,7904.224691510817
3,8491.53495257596
4,8426.757023156757
5,7687.579242364785
6,8095.237270435661
7,7868.282731392686
8,9068.852735949775
9,9625.733301807684
10,7949.968161932238
11,7838.521140189396
12,8131.494163024503
13,8639.345424190165
14,7760.874071107859
15,8220.367180407793
16,8051.082662378605
17,8020.738889305399
18,8369.652407499965
19,7228.256856402917
20,6690.262369730084
21,8064.314814549494
22,7261.345405635893
23,9066.276234517185
24,9437.409239986722
25,8522.460275945748
26,7928.999276491635
27,8318.273003809662
28,7136.086991850543
29,9999.329955581374
30,8770.506297759232
31,6975.318563501899
32,8544.302789238624
33,7646.936510780576
34,8470.22529034987
35,8768.450925653375
36,7535.798745035511
37,6756.549294715094
38,8425.424432432803
39,8056.878960492127
40,8221.345612670257
41,8839.955438944347
42,9453.034763223079
43,9227.049903630488
44,9080.032738565593
45,8636.23187232301
46,7724.866231100674
47,8498.03692635943
48,8260.08456915783
49,8500.183184776095
