,future
289,567.239990234375
290,577.4390258789062
291,573.2160034179688
292,574.3179931640625
293,575.6300048828125
294,581.697021484375
295,581.3079833984375
296,586.7529907226562
297,583.4149780273438
298,580.1820068359375
299,577.760986328125
300,579.6510009765625
301,569.947021484375
302,573.9119873046875
303,574.1069946289062
304,577.5029907226562
305,575.4719848632812
306,572.302978515625
307,575.5369873046875
308,598.2119750976562
309,608.6339721679688
310,606.5900268554688
311,610.4359741210938
312,614.5440063476562
313,626.3159790039062
314,622.8610229492188
315,623.5089721679688
316,606.718994140625
317,608.2429809570312
318,609.2410278320312
319,610.6840209960938
320,607.155029296875
321,606.9730224609375
322,605.9840087890625
323,609.8740234375
324,609.2269897460938
325,608.31201171875
326,597.1489868164062
327,596.2979736328125
328,602.8419799804688
329,602.625
330,600.8259887695312
331,608.0430297851562
332,606.166015625
333,604.72802734375
334,605.6929931640625
335,609.7349853515625
336,613.9829711914062
337,610.8920288085938
338,612.1329956054688
339,610.2039794921875
340,612.510986328125
341,613.02099609375
342,617.1209716796875
343,619.1079711914062
344,616.7520141601562
345,618.9940185546875
346,641.072021484375
347,636.1920166015625
348,636.7860107421875
349,640.3779907226562
350,638.64599609375
351,641.6309814453125
352,639.1929931640625
353,637.9600219726562
354,630.52001953125
355,630.8569946289062
356,632.8280029296875
357,657.2940063476562
358,657.0709838867188
359,653.760986328125
360,657.5880126953125
361,678.3040161132812
362,688.31298828125
363,689.6510009765625
364,714.47900390625
365,701.864013671875
366,700.9719848632812
367,729.7930297851562
368,740.8289794921875
369,688.7000122070312
370,703.2349853515625
371,703.4180297851562
372,711.52197265625
373,703.1309814453125
374,709.8480224609375
375,723.2730102539062
376,715.5339965820312
377,716.4110107421875
378,705.0540161132812
379,702.031005859375
380,705.02099609375
381,711.6190185546875
382,744.197998046875
383,740.9769897460938
384,751.5850219726562
385,751.6160278320312
386,731.0260009765625
387,739.2479858398438
388,751.3469848632812
389,744.593994140625
390,740.2890014648438
391,741.6489868164062
392,735.3820190429688
393,732.0349731445312
394,735.81298828125
395,735.60400390625
396,745.6909790039062
397,756.7739868164062
398,777.9439697265625
399,771.155029296875
400,773.8720092773438
401,758.7000122070312
402,764.2239990234375
403,768.1320190429688
404,770.8099975585938
405,772.7940063476562
406,774.6500244140625
407,769.7310180664062
408,780.0869750976562
409,780.5560302734375
410,781.4810180664062
411,778.0880126953125
412,784.906982421875
413,790.8289794921875
414,790.530029296875
415,792.7139892578125
416,800.8759765625
417,834.281005859375
418,864.5399780273438
419,921.9840087890624
420,898.822021484375
421,896.1829833984375
422,907.6099853515624
423,933.197998046875
424,975.9210205078124
425,973.4970092773438
426,961.2379760742188
427,963.7429809570312
428,998.3250122070312
429,1021.75
430,1043.8399658203123
431,1154.72998046875
432,1013.3800048828124
433,902.2009887695312
434,908.5850219726562
435,911.198974609375
436,902.8280029296876
437,907.6790161132812
438,777.7570190429688
439,804.833984375
440,823.9840087890625
441,818.4119873046875
442,821.7979736328125
443,831.5339965820312
444,907.93798828125
445,886.6179809570312
446,899.072998046875
447,895.0260009765625
448,921.7890014648438
449,924.6729736328124
450,921.0120239257812
451,892.68701171875
452,901.5419921875
453,917.5859985351562
454,919.75
455,921.5900268554688
456,919.4959716796876
457,920.3820190429688
458,970.4030151367188
459,989.0230102539062
460,1011.7999877929688
461,1029.9100341796877
462,1042.9000244140623
463,1027.3399658203123
464,1038.1500244140623
465,1061.3499755859377
466,1063.0699462890623
467,994.3829956054688
468,988.6740112304688
469,1004.4500122070312
470,999.1810302734376
471,990.6420288085938
472,1004.5499877929688
473,1007.47998046875
474,1027.43994140625
475,1046.2099609375
476,1054.4200439453123
477,1047.8699951171877
478,1079.97998046875
479,1115.300048828125
480,1117.43994140625
481,1166.719970703125
482,1173.6800537109375
483,1143.8399658203125
484,1165.199951171875
485,1179.969970703125
486,1179.969970703125
487,1222.5
488,1251.010009765625
489,1274.989990234375
490,1255.1500244140625
491,1267.1199951171875
492,1272.8299560546875
493,1223.5400390625
494,1150.0
495,1188.489990234375
496,1116.719970703125
497,1175.8299560546875
498,1221.3800048828125
499,1231.9200439453125
500,1240.0
501,1249.6099853515625
502,1187.81005859375
503,1100.22998046875
504,973.8179931640624
505,1036.739990234375
506,1054.22998046875
507,1120.5400390625
508,1049.1400146484377
509,1038.5899658203123
510,937.52001953125
511,972.7789916992188
512,1045.77001953125
513,966.7249755859376
514,1047.1500244140623
515,1039.969970703125
516,1026.4300537109377
517,1071.7900390625
518,1080.5
519,1102.1700439453123
520,1143.81005859375
521,1133.25
522,1124.780029296875
523,1182.6800537109375
524,1176.9000244140625
525,1175.949951171875
526,1187.8699951171875
527,1187.1300048828125
528,1205.010009765625
529,1200.3699951171875
530,1169.280029296875
531,1167.5400390625
532,1172.52001953125
533,1182.93994140625
534,1193.9100341796875
535,1211.6700439453125
536,1210.2900390625
537,1229.0799560546875
538,1222.050048828125
539,1231.7099609375
540,1207.2099609375
541,1250.1500244140625
542,1265.489990234375
543,1281.0799560546875
544,1317.72998046875
545,1316.47998046875
546,1321.7900390625
547,1347.8900146484375
548,1421.5999755859375
549,1452.8199462890625
550,1490.0899658203125
551,1537.6700439453125
552,1555.449951171875
553,1578.800048828125
554,1596.7099609375
555,1723.3499755859375
556,1755.3599853515625
557,1787.1300048828125
558,1848.5699462890625
559,1724.239990234375
560,1804.9100341796875
561,1808.9100341796875
562,1738.4300537109375
563,1734.449951171875
564,1839.0899658203125
565,1888.6500244140625
566,1987.7099609375
567,2084.72998046875
568,2041.199951171875
569,2173.39990234375
570,2320.419921875
571,2443.639892578125
572,2304.97998046875
573,2202.419921875
574,2038.8699951171875
575,2155.800048828125
576,2255.610107421875
577,2175.469970703125
578,2286.409912109375
579,2407.8798828125
580,2488.550048828125
581,2515.35009765625
582,2511.81005859375
583,2686.81005859375
584,2863.199951171875
585,2732.159912109375
586,2805.6201171875
587,2823.81005859375
588,2947.7099609375
589,2958.110107421875
590,2659.6298828125
591,2717.02001953125
592,2506.3701171875
593,2464.580078125
594,2518.56005859375
595,2655.8798828125
596,2548.2900390625
597,2589.60009765625
598,2721.7900390625
599,2689.10009765625
600,2705.409912109375
601,2744.909912109375
602,2608.719970703125
603,2589.409912109375
604,2478.449951171875
605,2552.449951171875
606,2574.7900390625
607,2539.320068359375
608,2480.840087890625
609,2434.550048828125
610,2506.469970703125
611,2564.06005859375
612,2601.639892578125
613,2601.989990234375
614,2608.56005859375
615,2518.659912109375
616,2571.340087890625
617,2518.43994140625
618,2372.56005859375
619,2337.7900390625
620,2398.840087890625
621,2357.89990234375
622,2233.340087890625
623,1998.8599853515625
624,1929.8199462890625
625,2228.409912109375
626,2318.8798828125
627,2273.429931640625
628,2817.60009765625
629,2667.760009765625
630,2810.1201171875
631,2730.39990234375
632,2754.860107421875
633,2576.47998046875
634,2529.449951171875
635,2671.780029296875
636,2809.010009765625
637,2726.449951171875
638,2757.179931640625
639,2875.340087890625
640,2718.260009765625
641,2710.669921875
642,2804.72998046875
643,2895.889892578125
644,3252.909912109375
645,3213.93994140625
646,3378.93994140625
647,3419.93994140625
648,3342.469970703125
649,3381.280029296875
650,3650.6201171875
651,3884.7099609375
652,4073.260009765625
653,4325.1298828125
654,4181.93017578125
655,4376.6298828125
656,4331.68994140625
657,4160.6201171875
658,4193.7001953125
659,4087.659912109375
660,4001.739990234375
661,4100.52001953125
662,4151.52001953125
663,4334.68017578125
664,4371.60009765625
665,4352.39990234375
666,4382.8798828125
667,4382.66015625
668,4579.02001953125
669,4565.2998046875
670,4703.39013671875
671,4892.009765625
672,4578.77001953125
673,4582.9599609375
674,4236.31005859375
675,4376.52978515625
676,4597.1201171875
677,4599.8798828125
678,4228.75
679,4226.06005859375
680,4122.93994140625
681,4161.27001953125
682,4130.81005859375
683,3882.590087890625
684,3154.949951171875
685,3637.52001953125
