,0
0,7991.343828064117
1,7856.430922153162
2,7966.515901287279
3,8413.284640550311
4,8605.05278446335
5,9817.242621172296
6,9012.312670795032
7,8692.565823323723
8,8901.413155659353
9,10093.27455921863
10,7753.970711151564
11,7242.389715701476
12,8876.985497069505
13,8614.815682417935
14,7886.947093344399
15,7105.035295978323
16,7577.23242348577
17,7522.568221687998
18,8179.244688764378
19,8242.829547233141
20,8329.300729460712
21,9589.656978800183
22,8611.682271764952
23,7551.011240939861
24,8241.468536936696
25,8404.560400861305
26,9169.754494911514
27,6985.015019884409
28,8288.360108252458
29,7776.62428924676
30,6987.467870994954
31,8023.110445661022
32,7038.372465060575
33,6593.776124965882
34,8278.146049184976
35,7714.058591486205
36,8304.442409824598
37,8819.43065227896
38,7887.553843410004
39,10050.241931911343
40,8273.892015451584
41,8638.93911161066
42,6547.993263813219
43,8731.857386309439
44,9224.06609143598
45,9415.522749765561
46,7595.209196575469
47,9599.351565678855
48,8354.826484546084
49,9458.52668873176
50,8955.353035594588
51,8750.749515516003
52,7711.240460540185
53,8439.832990930667
54,8106.046293293143
55,7792.320140578801
56,8729.870771184349
57,8141.124891358911
58,6995.969628666312
59,8154.517665711482
