,Test,BTC_MAE,BTC_MSE,BTC_RMSE,BTC_Score
0,Linear regression,61.09597664099051,6507.821766375574,80.67107143440934,-0.6274536137097073
1,Bayesian Ridge,63.518490016899825,7645.296664862258,87.43738711136248,-0.9119094117481386
2,Elastic Net CV,48.91039174540337,4620.159900933419,67.97175811271487,-0.1553936473091848
3,Random Forest,61.495930394412454,6208.619148088973,78.79479137664477,-0.5526300552530463
4,Xgboost regression,61.648696401526514,6234.015107665742,78.9557794443557,-0.5589809892015425
5,NN regression,60.16787685074849,6717.089960934203,81.95785478484783,-0.6797866817769087
