,Test,BTC_MAE,BTC_MSE,BTC_RMSE,BTC_Score
0,Linear regression,721.8666206132301,904306.9978762852,950.9505759377221,0.6270373140337937
1,Bayesian Ridge,725.6868032254396,918593.1895977741,958.4326734819583,0.6211452702376186
2,Elastic Net CV,1106.4133654310501,1740615.4704999742,1319.323868691829,0.2821192110239371
3,Random Forest,719.9629803423201,870510.7197204772,933.0116396489796,0.6409758887725192
4,Xgboost regression,687.1595851353237,864636.5435975407,929.8583459847746,0.6433985710140523
5,NN regression,2908.5417178539647,12500644.819103336,3535.625095948853,-4.15563196900103
